crop,state,season,soil_type,rainfall_mm,temperature_c,humidity_pct,fertilizer_kg_ha,area_hectares,yield_kg_per_ha
Groundnut,Madhya Pradesh,Kharif,Black,1556.0,40.9,51.1,318.3,20.49,2790.9
Sugarcane,Maharashtra,Zaid,Red,1031.3,31.6,76.6,176.8,77.54,2757.7
Cotton,Madhya Pradesh,Kharif,Alluvial,994.2,22.1,38.8,306.9,71.4,3078.3
Groundnut,Karnataka,Kharif,Laterite,534.6,16.8,48.9,86.4,63.68,1807.0
Maize,Maharashtra,Kharif,Alluvial,1107.0,15.8,39.4,326.3,39.03,2407.0
Cotton,Uttar Pradesh,Rabi,Laterite,518.9,21.6,82.7,236.3,90.95,2894.2
Cotton,Haryana,Rabi,Black,1986.5,38.8,44.5,152.3,96.97,2880.3
Groundnut,Uttar Pradesh,Rabi,Alluvial,2425.8,26.2,76.6,279.5,17.78,4051.6
Wheat,Madhya Pradesh,Zaid,Sandy,2434.2,34.4,91.3,274.6,22.69,3841.0
Maize,Madhya Pradesh,Kharif,Black,2203.2,39.8,64.3,123.3,52.8,2587.5
Groundnut,Haryana,Zaid,Laterite,1621.7,26.0,65.1,60.6,9.58,3118.9
Maize,Madhya Pradesh,Rabi,Black,1841.9,20.2,60.0,201.8,43.93,3175.9
Maize,Uttar Pradesh,Zaid,Alluvial,927.5,29.0,51.2,249.3,58.39,3170.0
Cotton,Maharashtra,Kharif,Red,1687.7,39.5,60.9,356.8,52.45,2964.2
Sugarcane,Maharashtra,Kharif,Red,1302.4,36.7,69.2,374.9,33.43,3186.3
Maize,Punjab,Rabi,Laterite,1360.4,16.8,94.1,235.1,54.47,2799.2
Soybean,Karnataka,Rabi,Laterite,1967.1,33.7,91.0,313.8,95.9,4169.8
Cotton,Madhya Pradesh,Zaid,Red,920.2,30.4,86.0,203.8,21.0,3166.0
Wheat,Uttar Pradesh,Rabi,Laterite,999.7,39.5,87.8,311.1,65.66,2657.4
Sugarcane,Madhya Pradesh,Rabi,Black,2334.2,18.3,60.4,121.7,4.82,2782.9
Soybean,Madhya Pradesh,Kharif,Sandy,423.7,29.4,72.7,179.9,7.11,2728.9
Soybean,Bihar,Rabi,Sandy,1368.4,38.7,88.2,272.0,55.41,3350.0
Wheat,Punjab,Rabi,Black,2308.2,26.1,55.5,56.4,10.94,3132.3
Sugarcane,Uttar Pradesh,Kharif,Sandy,1642.8,28.0,92.5,302.9,2.72,3873.2
Cotton,Uttar Pradesh,Kharif,Alluvial,1502.1,16.9,57.0,342.4,17.57,2937.0
Rice,Madhya Pradesh,Zaid,Black,849.4,22.5,69.1,189.7,56.7,2922.8
Sugarcane,Punjab,Rabi,Laterite,1055.2,23.8,76.1,206.8,70.48,3236.0
Wheat,Maharashtra,Kharif,Black,2174.5,40.5,91.8,347.9,20.65,3117.1
Soybean,Uttar Pradesh,Zaid,Red,1530.3,22.6,45.9,321.5,66.99,3281.2
Cotton,Maharashtra,Zaid,Laterite,1432.4,27.4,78.5,150.9,18.66,3515.8
Sugarcane,Punjab,Rabi,Red,519.1,33.1,63.9,163.4,61.54,2873.2
Rice,Maharashtra,Rabi,Laterite,335.3,19.4,47.5,287.6,41.49,2782.0
Rice,Haryana,Zaid,Sandy,2420.1,28.1,80.5,247.1,65.55,3984.6
Maize,Bihar,Kharif,Black,1129.4,34.9,65.9,106.8,99.51,2767.4
Maize,Andhra Pradesh,Zaid,Alluvial,1627.1,38.4,73.0,158.5,93.81,3128.1
Groundnut,Uttar Pradesh,Rabi,Laterite,475.4,31.9,51.0,365.0,0.93,3188.0
Wheat,Karnataka,Kharif,Laterite,1802.9,33.1,61.3,290.9,88.6,3619.4
Sugarcane,Bihar,Kharif,Red,2351.6,18.4,70.1,395.1,7.12,3388.7
